pkey,Topic_Title,categorytype,notes,active,sdate,mdate,addedby,modedby,thefile,strength,subCategory,link
569,"Javascript to DOM style conversion guide",Client-Side,"<p>see link.</p>
<p>fontStyle='italic'</p>",1,"2010-04-02 13:07:54","2010-04-02 13:07:54",shawn,shawn,NULL,4,JavaScript,http://www.comptechdoc.org/independent/web/cgi/javamanual/javastyle.html
570,"Select Base Tables with No Primary Key",Server-Side,"<p>select&nbsp;&nbsp;&nbsp; *<br />from&nbsp;&nbsp;&nbsp; INFORMATION_SCHEMA.TABLES<br />where&nbsp;&nbsp;&nbsp; table_type='BASE TABLE'<br />and&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; not TABLE_NAME<br />in&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; (<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; SELECT&nbsp;&nbsp;&nbsp; o.name AS Table_Name<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; FROM&nbsp;&nbsp;&nbsp; sysindexes i,<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; sysobjects o<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; WHERE&nbsp;&nbsp;&nbsp; o.id = i.id<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; AND&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; o.status &gt;= 0<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; AND&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; o.type = 'U'<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; AND&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; (i.status&amp;0x10)=0x10<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; )</p>",1,"2010-04-27 10:14:31","2010-04-27 10:14:32",shawn,shawn,NULL,5,"MS SQL",NULL
571,"Select Base Tables with No NonClustered Indexes",Server-Side,"<p>select&nbsp;&nbsp;&nbsp; *<br />from&nbsp;&nbsp;&nbsp; information_schema.tables<br />where&nbsp;&nbsp;&nbsp; table_type='base table'<br />and&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; table_name<br />not in&nbsp;&nbsp;&nbsp; (<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; SELECT&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; distinct o.name AS Table_Name<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; FROM&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; sysindexes i,<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; sysobjects o<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; WHERE&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; o.id = i.id<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; AND&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; o.status &gt;= 0<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; AND&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; o.type = 'U'<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; and&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; not (i.status&amp;0x10)=0x10<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; and&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; i.root is not null<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; AND&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; i.name is not null<br />)<br />order by&nbsp;&nbsp;&nbsp; table_name</p>",1,"2010-04-27 10:22:49","2010-04-27 15:38:51",shawn,shawn,NULL,4,"MS SQL",NULL
572,"Select Table Column Statistics",Server-Side,"<p>SELECT&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; OBJECT_NAME(s.object_id) AS object_name,<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; COL_NAME(sc.object_id, sc.column_id) AS column_name,<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; s.name AS statistics_name<br />FROM&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; sys.stats AS s<br />Join&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; sys.stats_columns AS sc<br />ON&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; s.stats_id = sc.stats_id<br />WHERE&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; s.name like '_WA%'<br />ORDER BY&nbsp;&nbsp;&nbsp; s.name</p>",1,"2010-04-27 10:41:52","2010-04-27 15:12:11",shawn,shawn,NULL,5,"MS SQL",http://msdn.microsoft.com/en-us/library/ms190397.aspx
573,"NVARCHAR versus VARCHAR",Server-Side,"<h2 class=""pageTitle"">NVARCHAR versus VARCHAR</h2>
<p><em>SQL Server provides both datatypes to store character  information. For the most part the two datatypes are identical in how  you would work with them within SQL Server or from an application. The  difference is that nvarchar is used to store unicode data, which is used  to store multilingual data in your database tables. Other languages  have an extended set of character codes that need to be saved and this  datatype allows for this extension. If your database will not be storing  multilingual data you should use the varchar datatype instead. The  reason for this is that nvarchar takes twice as much space as varchar,  this is because of the need to store the extended character codes for  other languages</em></p>
<p>&nbsp;</p>
<p>The transmission costs I/O is highier for NVARCHAR datatypes. Example: SQL to send back a query result to ColdFusion</p>",1,"2010-04-27 15:04:07","2010-04-27 15:04:40",shawn,shawn,NULL,4,"MS SQL",http://weblogs.asp.net/guys/archive/2005/01/15/353550.aspx
574,"Select All Non Clustered Indexes",Server-Side,"<p>SELECT&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; o.name AS Table_Name,<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; i.name AS Index_Name,<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; STUFF<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; (<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; (<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; SELECT&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; char(44) + sc1.name<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; FROM&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; syscolumns sc1<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; JOIN&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; syscolumns sc2<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ON&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; sc2.id = o.id<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; AND&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; sc2.colid &lt;= i.keycnt<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; WHERE&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; o.id = sc1.id<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; AND&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; sc1.name = index_col (o.name,i.indid, sc2.colid)<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ORDER BY&nbsp;&nbsp;&nbsp; sc2.colid<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; FOR XML PATH('')<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ), 1, 1, ''<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ) as Column_Ordered_List,<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; o.crdate as Date_Created,<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; CASE<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; WHEN (i.status&amp;0x2)=0x2<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; THEN 1<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ELSE 0<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; END AS Is_Unique,<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; i.OrigFillFactor AS fill_factor,<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; CASE<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; WHEN (i.status&amp;0x100)=0x100<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; THEN 1<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ELSE 0<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; END AS status_pad,<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; CASE<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; WHEN (i.status&amp;0x3)=0x3<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; THEN 1<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ELSE 0<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; END AS status_dup,<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; CASE<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; WHEN (i.status&amp;0x1000000)=0x1000000<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; THEN 1<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ELSE 0<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; END AS status_stat<br />FROM&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; sysindexes i,<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; sysobjects o<br />WHERE&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 0=0<br />AND&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; o.id = i.id<br />AND&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; o.status &gt;= 0<br />AND&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; o.type = 'U'<br />and&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;not (i.status&amp;0x10)=0x10<br />and&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;i.root is not null<br />AND&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; i.name is not null<br /></p>",1,"2010-04-27 15:32:14","2010-04-27 15:32:46",shawn,shawn,NULL,5,"MS SQL",NULL
576,"Select all Stored Procedures that do not contain ""SET NOCOUNT ON""",Server-Side,"<p>select&nbsp;&nbsp;&nbsp; *<br />from&nbsp;&nbsp;&nbsp; information_schema.ROUTINES<br />WHERE&nbsp;&nbsp;&nbsp; ROUTINE_TYPE='PROCEDURE'<br />AND&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; ROUTINE_DEFINITION NOT LIKE '%SET NOCOUNT ON%'</p>
<hr />
<p>keywords: search functions procedures</p>",1,"2010-04-27 16:40:09","2012-05-24 16:12:55",shawn,shawn,NULL,4,"MS SQL",NULL
577,"Don’t Name any of Your Stored Procedures with ‘sp_’ at the start",Server-Side,"<p><strong>Don&rsquo;t Name any of Your Stored Procedures with &lsquo;sp_&rsquo; at the  start </strong></p>
<p>If you are creating a stored procedure to run in a database other  than the Master database, don&rsquo;t use the prefix &ldquo;sp_&rdquo; in its name. This  special prefix is reserved for system stored procedures. Although using  this prefix will not prevent a user defined stored procedure from  working, what it can do is to slow down its execution ever so slightly.</p>
<p>The reason for this is that by default, any stored procedure executed  by SQL Server that begins with the prefix &ldquo;sp_&rdquo;, is first attempted to  be resolved from within the Master database. Since it is not there, time  is wasted looking for the stored procedure.</p>
<p>If SQL Server cannot find the stored procedure in the Master  database, then it next tries to resolve the stored procedure name as if  the owner of the object is &ldquo;dbo&rdquo;. Assuming the stored procedure is in  the current database, it will then execute. To avoid this unnecessary  delay, don&rsquo;t name any of your stored procedures with the prefix &ldquo;sp_&rdquo;.</p>",1,"2010-04-27 16:43:52","2010-04-27 16:43:52",shawn,shawn,NULL,3,"MS SQL",http://johnnyblogger.wordpress.com/4-quick-and-easy-ways-to-speed-up-your-sql-server/
578,"Judging Index Fill Factor",Server-Side,"<p>- Low Update Tables (100-1 read to write ratio): 100% fillfactor</p>
<p>- High Update Tables (where writes exceed reads): 50%-70% fillfactor</p>
<p>- Everything In-Between: 80%-90% fillfactor.</p>
<p>&nbsp;</p>
<p>Pad Index will do the same as Fill Factor but at a more pre-row level. Fill Factor helps to lesson the creation of pages per page. Pad Index helps to lesson the creation of pages per row.</p>
<p>&nbsp;</p>
<p>You may have to experiment to find the optimum fillfactor for your  particular application. Don&rsquo;t assume that a low fillfactor is always  better than a high fillfactor. While page splits will be reduced with a  low fillfactor, it also increase the number of pages that have to be  read by SQL Server during queries, which reduces performance. And not  only is I/O overhead increased with a too low of fillfactor, it also  affects your buffer cache. As data pages are moved in from disk to the  buffer, the entire page (including empty space) is moved to the buffer.  So the lower the fillfactor, the more pages that have to be moved into  SQL Serve&rsquo;s buffer, which means there is less room for other important  data pages to reside at the same time, which can reduce performance.</p>
<p>If you don&rsquo;t specify a fillfactor, the default fillfactor is 0, which  means the same as a 100% fillfactor, (the leaf pages of the index are  filled 100%, but there is some room left on intermediate index pages).</p>",1,"2010-04-27 16:48:03","2010-04-29 10:54:25",shawn,shawn,NULL,4,"MS SQL",http://johnnyblogger.wordpress.com/4-quick-and-easy-ways-to-speed-up-your-sql-server/
579,"Rebuild Versus Reorganizing an Index",Server-Side,"<p><strong>1) </strong>Index rebuild works by re-creating the index internally  again and when that has been achieved, it drops the existing index where  as index reorganize is the process of physically re-organizing the leaf  nodes of the index.</p>
<p><strong>2) </strong>During the index rebuild process, the statistics are also  re-computed &ndash; same as when a new index gets created.  Reorganize on the  other hand does not update the statistics.  Reorganize essentially just  swaps one page with another and thus does not require free space for  this operation like rebuild does.  Infact, reorganize can free up some  pages as it does the reorg in two phases &ndash; compaction and defrag.  A  reorganize can remove almost all of the logical fragmentation but it  cannot necessarily fix extent fragmentation in which the previous and  the next extents are physically contiguous.</p>
<p><strong>3) </strong>Another point to note is that an index (clustered or  non-clustered) cannot be built online if it contains LOB data (text,  ntext, varchar(max), nvarchar(max), varbinary(max), image and xml data  type columns). The ALTER INDEX&hellip;REORGANIZE command shown above is the  same as DBCC INDEXDEFRAG but there is one difference.  ALTER  INDEX&hellip;REORGANIZE has some additional features like large objects  compaction (LOB_COMPACTION).  And this is an online operation.</p>
<p><strong>4) </strong>Regarding partitions of an index, if an index has multiple  partitions, then you cannot rebuild a single partition online.  You can  reorganize a single index partition online.  If you want to rebuild an  index with multiple partitions in an online environment, you need to  rebuild the entire index which means rebuilding all the partitions.</p>",1,"2010-04-29 10:56:29","2010-04-29 10:56:29",shawn,shawn,NULL,4,"MS SQL",http://decipherinfosys.wordpress.com/2008/02/07/index-rebuilding-vs-index-reorganizing-in-sql-server-2005/
580,"Why you don't need to defrag your Apple hard-drive",Server-Side,"<ul>
<li>OS X&rsquo;s HFS+ file system tries not to use recently freed file  space on a disk. Instead, it looks for larger free areas already present  on the drive, thereby avoiding fragmenting files just to fit them into  available space.</li>
<li>OS X dynamically gathers groups of small files and combines  them into larger areas on your disk automatically. The process of  writing the files to a new larger location defragments all of the files  in the group.</li>
<li>OS X implements Hot File Adaptive Clustering, which monitors  frequently-accessed files that do not get changed (read only), and then  moves these often-accessed files to a special hot zone on the hard  drive. In the process of moving these files, OS X defragments them, and  then stores them in the area of the hard drive that has the fastest  access.</li>
<li>When you open a file, OS X checks to see if it is highly  fragmented (more than 8 fragments). If it is, OS X will automatically  defragment the file.</li>
</ul>
<p>The result of all these safeguards is that OSX rarely, if ever, needs  to have its disk space defragmented. The only real exception to this is  when your hard drive has less than 10 percent free space. At that  point, OS X is unable to perform its automatic defragmentation routines,  and you should consider either removing files or expanding your disk  storage size.</p>",1,"2010-04-29 13:22:24","2010-04-29 13:22:24",shawn,shawn,NULL,5,"Apple Macintosh",http://macs.about.com/od/faq1/f/defrag.htm
581,"About Index Fragmentation",Server-Side,"<p>There are basically two types of fragmentation:</p>
<ul>
<li>
<p><strong>External fragmentation</strong> - External, a.k.a logical,&nbsp;  fragmentation occurs when an index leaf page is not in logical order, in  other words it occurs when the logical ordering of the index does not  match the physical ordering of the index. This causes SQL Server to  perform extra work to return ordered results. For the most part,  external fragmentation isn&rsquo;t too big of a deal for specific searches  that return very few records or queries that return result sets that do  not need to be ordered.</p>
</li>
<li>
<p><strong>Internal fragmentation</strong> - Internal fragmentation occurs when  there is too much free space in the index pages. Typically, some free  space is desirable, especially when the index is created or rebuilt. You  can specify the Fill Factor setting when the index is created or  rebuilt to indicate a percentage of how full the index pages are when  created. If the index pages are too fragmented, it will cause queries to  take longer (because of the extra reads required to find the dataset)  and cause your indexes to grow larger than necessary. If no space is  available in the index data pages, data changes (primarily inserts) will  cause page splits as discussed above, which also require additional  system resources to perform.</p>
</li>
</ul>",1,"2010-04-29 13:29:28","2010-04-29 13:29:28",shawn,shawn,NULL,3,"MS SQL",http://www.mssqltips.com/tip.asp?tip=1708
582,"Select Overview of Index Fragmentation",Server-Side,"<p>SELECT&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; si.name,object_name(a.object_id) as table_name,<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; a.index_type_desc,a.record_count,a.avg_fragmentation_in_percent,a.avg_page_space_used_in_percent,si.fill_factor,si.is_padded,a.avg_fragment_size_in_pages,<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; a.fragment_count,a.page_count,a.min_record_size_in_bytes,a.max_record_size_in_bytes<br />FROM&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;sys.dm_db_index_physical_stats(db_id(),default,default,DEFAULT,'sampled') a<br />join&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;sys.indexes si<br />ON&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;a.index_id=si.index_id<br />and&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;a.object_id=si.object_id<br />WHERE&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;a.fragment_count is not null<br />ORDER BY&nbsp;&nbsp; &nbsp;a.avg_fragmentation_in_percent desc,object_name(a.object_id),si.name</p>",1,"2010-04-29 16:36:49","2011-03-02 10:00:51",shawn,shawn,NULL,5,"MS SQL",NULL
583,"Read about really strong indexing tips",Server-Side,NULL,1,"2010-04-29 16:40:18","2010-04-29 16:40:18",shawn,shawn,NULL,4,"MS SQL",http://www.mssqltips.com/category.asp?catid=38
